city,lng,lat,count
阜新,121.66082212856833,42.01925010706022,16
株洲,113.13169534107074,27.82743292766265,16
喀什,76.01434279894337,39.51311058531203,16
芜湖,118.38410842322828,31.36601978754301,16
南充,106.10555398379239,30.800965168237234,15
延安,109.50050975696925,36.60332035226031,15
平顶山,113.30084897797529,33.74530145652439,15
秦皇岛,119.6043676161184,39.945461565897574,15
莱阳,120.75134338102879,36.905533169254866,15
通化,125.94265013851434,41.73639712986761,15
哈密,93.52937301238876,42.34446710455244,15
亳州,115.78792824511814,33.87121056530193,15
六安,116.50525268298414,31.75555835519844,15
高密,119.70251223974057,36.38731799231518,15
娄底,111.99639635657,27.741073302349072,15
十堰,110.80122891676038,32.636994339468124,14
上饶,117.95546387714894,28.457622553937274,14
济宁,116.60079762482256,35.40212166433135,14
攀枝花,101.72242315249032,26.587571257108653,14
宿州,116.9886924118307,33.63677238578078,14
胶州,119.95942122689219,36.24803145848278,14
常德,111.65371813684197,29.012148855180815,14
金昌,102.20812626259014,38.51607179953174,14
本溪,123.77806236979248,41.32583762664885,14
丽水,119.92957584318849,28.4562995521443,14
桐乡,120.49041120216108,30.61234103032807,13
宣化,115.25847218770907,40.632394360148936,13
邵阳,111.46152540355403,27.236811244922414,13
温岭,121.42104597878073,28.4005538171066,13
滁州,118.32457035097686,32.31735059538377,13
于家堡,117.69593963872306,39.00214849843348,13
通辽,122.26036326322144,43.633756072995986,13
介休,111.99518801957157,37.02547627593959,13
凯里,107.94823859488538,26.6317423326968,13
龙岩,117.01799673877318,25.07868543351518,12
鞍山,123.0077633288837,41.118743682153465,12
黄山,118.07754612726298,30.277745895120198,12
韩城,110.39377368099409,35.5827821383094,12
泉州,118.60036234322938,24.901652383991102,12
安顺,105.92826996575766,26.228594577737493,12
涿州,115.99905364071243,39.48248181057233,12
巢湖,117.88049041703327,31.608732547545824,12
铜陵,117.81942872880637,30.940929694665662,12
临河,107.44183964666986,40.93201822322359,12
渭南,109.48393269657977,34.5023579758288,12
三门峡,111.1812620932674,34.783319941049726,12
吕梁,111.14315660234801,37.52731609696258,12
曹县,115.55360067628013,34.82795276718242,12
开封,114.35164211776365,34.80185417583674,11
宁德,119.54208214971854,26.656527419158913,11
榆林,109.74592574432862,38.279439240070595,11
广安,106.75891196362113,30.59924998719945,11
张家界,110.4816201569677,29.124889353219793,11
无为,117.82005160306733,31.222493656580316,11
宣威,104.15257073219401,26.276828622628493,11
汉口,119.65118456980305,27.086013943108874,11
天门,113.12623048764767,30.649047356422365,11
阳泉,113.56923760163296,37.86952949322259,11
塘沽,117.64908144717823,39.007936142682375,11
焦作,113.21183588499157,35.234607554985935,11
三明,117.64219393404412,26.270835279362192,11
章丘,117.47047586204579,36.76330774852458,11
淮南,117.01863886329463,32.64281182374795,10
莆田,119.07773096395962,25.448450136734262,10
青州市,118.47018708791366,36.68058442583128,10
莱西,120.442831050639,36.863636936232474,10
汕头,116.72865028834109,23.383908453269196,10
兖州,116.75256014242531,35.564429514450595,10
高碑店,116.04093362477256,39.26508776483182,10
侯马,111.37150924675753,35.62178548787969,10
四平,124.39138207367984,43.17552470112557,9
鹤岗,130.29247205063453,47.33866590372683,9
江山,118.60708619901152,28.581969944140962,9
东胜,109.76441928582383,39.805585913145606,9
漳州,117.67620467894616,24.517064779808482,9
乳山,121.5297879779459,36.976575050290634,9
邹城,117.089581751128,35.35404254087785,9
陇西,104.63291319296263,35.111801691090896,9
石河子,86.04186492219485,44.308258980430466,9
任丘,116.16321405193285,38.741104641109665,9
集宁,113.11283222874056,41.02776597146905,9
景德镇,117.18652262527252,29.303562768448288,9
沭阳,118.85774971753034,34.15401365959694,9
鹰潭,117.03545018601243,28.241309597181967,9
蕲春,115.60077083530692,30.32871701174397,9
张掖,100.45989186892419,38.93932029698206,9
梧州,111.30547195007331,23.485394636734455,9
乌海,106.83199909716231,39.683177006785236,8
玉屏,108.99183003691114,27.33587099435376,8
长兴,119.81941984715448,30.98335278753511,8
镇江,119.45583540512952,32.20440944359928,8
孝感,113.93573439207124,30.927954784200963,8
江油,104.93314929992522,31.952426668806112,8
博乐,81.87428467917839,44.844209020588075,8
即墨,120.52110561990881,36.48790860159858,8
嘉兴,120.76042769895746,30.77399223958183,8
乐山,103.76082423877176,29.600957611095073,8
珠海,113.56244702618993,22.25691464612574,8
石门,111.04428685664897,29.801742760215244,8
高平,112.93511535361624,35.809742457990794,8
朝阳,116.52169489108084,39.95895316640668,8
百色,106.63182140365117,23.901512367910115,8
瓦房店,121.7906987887405,39.70895639618986,8
韶关,113.5944611074356,24.80296031189189,8
静海,116.98682530718416,38.837510804606694,8
麻城,115.08971464086959,31.217943121812862,8
商河,117.20871442383435,37.32594723868996,8
东莞,113.76343399075655,23.043023815368237,8
内江,105.07305599171474,29.599461534774647,7
诸暨,120.28143440994458,29.69939951698114,7
池州,117.49447677159357,30.660019248160626,7
诸城,119.41616966207869,36.01665753337769,7
苍南,120.44554278341076,27.434436382653455,7
库车,83.4598067826727,41.78193289277602,7
弋阳,117.41664984163721,28.452236031908882,7
白城,122.84077667910014,45.621086275218886,7
